Becca Dudley
Robert Aramayo
Gethin Davies
Steve Gaunt
Chilli Jesson
Sam Fryer
Percy Kelly
Lady Anne
Ella Woodward
Francesca Louise White
Damson Idris
Martha Collison
Pip Andersen
Otho Lloyd
Bloody Baron
John IV Basset
Elizabeth Grey, 6th Baroness Lisle
Fat Friar
Salazar Slytherin
Helga Hufflepuff
Godric Gryffindor
Rowena Ravenclaw
Sir Henry Stafford
Colin Burt Vidler
Mary Carr Brown
Richard Duke of Gloucester
Sophie Turner
Chloe Harris
Charlotte Tilbury
Georgiana Burne-Jones
Patricia Horsman
Lilian McSween
Christine Macsween
Lauri De Frecce
Harry Pelissier
Jean Compton Mackenzie
Christopher Beauman
Louise Bartle
Richard Nicoll
Tomethy Furse
Edmée
William Stafford (courtier)
Alexa Wilding
Edward Mary Joseph Molyneux
Ethel Whibley
Fred Barnes (performer)
Matt Chambers
Chris Rawlinson
Charles Wyndham
Hannah Garner
Halil Zorba
Kathryn Parminter, Baroness Parminter
Armaan Kirmani
Ruth Herbert
Vicky Skeeles
Mourhrna Reddy
Thomas Howard, 1st Viscount Howard of Bindon
Dan Raynham III
Walter Hungerford (Knight of Farley)
Dorothy Bray, Baroness Chandos
Mary Brandon, Baroness Monteagle
Felicity Tree
Catherine Fillol
Kris Deedigan
John Nevill, 3rd Baron Latimer
Pat Booth
Debbie Moore
Mary Nesbitt
Nicholas Hughes
Emily Ovenden
Catherine Dickens
Charles Edward Perugini
Kate Perugini
Geoffrey Turner (bishop)
Maxime de la Falaise
Caroline Duffy
Terry Taylor (musician)
Elizabeth Tilney, Countess of Surrey
Ralph Neville, 4th Earl of Westmorland
Carri Mundane
Margery Wentworth
Elizabeth Holland
Susan Bertie, Countess of Kent
Anne Shelton (courtier)
David Nightingale Hicks
Maud Green, Lady Parr
Joyce Culpeper
Angelo Colarossi
Wynne Edwin Baxter
Frances Howard, Countess of Surrey
Sarah Wildes
Henry Brandon, 2nd Duke of Suffolk
John Netley
Michael Glatze
Frances Radclyffe, Countess of Sussex
Hakan Hayrettin
Elisabeth Parr, Marchioness of Northampton
Rory Attwell
Jane Dormer
Charles E. Sexey
Ben Phillips (cricketer)
Mary Ann Craig
Jeff Singer
Rosie Smith
Lorna McDonald
Adam Dugdale
Samuel Hunt (cricketer)
Adrian Stokes (courtier)
Sophie Davison
Warren Harvey
Eileen Mayo
Allegra Byron
Ömer Rıza
Erol Alkan
Maria Francesca Rossetti
Frances Polidori
Catherine of York
Bridget of York
Anne of York, Countess of Surrey
Mary of York
Margaret Bryan
Bronson Albery
Isabella of Castile, Duchess of York
Isabel, Countess of Gloucester
Dorothy Percy, Countess of Northumberland
Veronica Ann Cross
Lord Edmund Howard
Janet Lane-Claypon
Frances Walsingham
Jonathan Trott
Charles Valentine Riley
Francis Dereham
Lady Jane Seymour
Pete Barnacle
Robert Sherard
Peregrine Bertie, 13th Baron Willoughby de Eresby
Helen Cooper (literary scholar)
Margaret Roper
Edith the Fair
Mary Fitton
Richard Mansfield
Eleanor Clifford, Countess of Cumberland
Catherine of Lancaster
Edward Clinton, 1st Earl of Lincoln
Henry, Duke of Cornwall
Kitty Fisher
Arthur Gore, 9th Earl of Arran
Madge Gill
Montague Druitt
William Rothenstein
Martha Tabram
Valentine Bambrick
James Maybrick
Amy Robsart
Victoria, Lady Welby
John Seymour (1474–1536)
Thomas Culpeper
Henry Grey, 1st Duke of Suffolk
Claire Clairmont
Edward of Middleham, Prince of Wales
John Ball (priest)
Roger Mortimer, 1st Earl of March
William Brandon (standard-bearer)
Calico Jack
Philippa of Lancaster
Robert FitzRoy
Sir William Gull, 1st Baronet
Thomas Howard, 2nd Duke of Norfolk
Jane Boleyn, Viscountess Rochford
Mary de Bohun
Max Beerbohm
Philip Sidney
Susan Barrantes
Henry Howard, Earl of Surrey
Reginald Pole
Lady Eleanor Talbot
Margaret of York
Henry the Young King
Katherine Swynford
Nicholas Bacon (courtier)
Thomas Cromwell, 1st Earl of Essex
Samuel Johnson
Henry IV of England
Henry VI of England
Henry III of England
Edward I of England
Edward the Confessor
Mary Anning
Mother Shipton
John William Polidori
Edmund I
Adrian G. Pop
Sue Trinder
Al Shaw
Violet Blythe
Anne Brontë
Harvey Scrimshaw
Wyn Richmond
Charlotte Bronte
Horace Kenney
Jessica Hamilton
Henryetta Edwards
Thomas Hopkin
David Nellist
Paul Tucker
