word,synonyms
vliegtuig,['vliegmachine']
schaakspel,['schaaksport']
bank,"['sofa', 'zetel', 'zitbank']"
werelddeel,['continent']
heelal,['universum']
continent,['werelddeel']
aankoop,['aanschaf']
barok,['barokstijl']
aubergine,['eierplant']
Leo,"['Lodewijk', 'Lima']"
augurk,['cornichon']
beeld,"['standbeeld', 'monument', 'sculptuur']"
Andromeda,['Andromedanevel']
Ara,"['Aari', 'Ari', 'Aro', 'Aarai', 'Shankilla', 'Shankillinya', 'Shankilligna']"
sterrenbeeld,['constellatie']
licht,['helder']
bot,"['been', 'knook']"
veel,"['ruim', 'boel', 'hoop']"
lijn,['streep']
zeshoek,['hexagoon']
boerenkool,['boerenkoolstamppot']
foto,['kiekje']
moeder,"['ma', 'mama', 'mams', 'moe', 'moer']"
weinig,"['gering', 'beetje', 'miniem']"
snel,"['vlug', 'rap']"
montage,"['samenstelling', 'assemblage']"
Kerstmis,"['kerst', 'kerstfeest']"
tomaat,['liefdesappel']
wortel,"['bospeen', 'breekpeen', 'waspeen']"
aanklacht,['beschuldiging']
treffen,['raken']
nee,['neen']
heel,['intact']
sneeuw,['ruis']
plek,"['plaats', 'positie', 'locatie']"
gevolg,"['uitkomst', 'effect']"
Italiaanse,['Italiaans']
adelaar,['arend']
wit,['wiet']
bier,['gerstenat']
raam,['venster']
afgunst,['jaloezie']
advocaat,['raadsman']
Hoggar,['Ahaggargebergte']
Ahaggargebergte,['Hoggar']
wind,['luchtstroom']
vent,['bink']
broer,['broeder']
conjunctief,['subjunctief']
futurum simplex,['futurum']
paard,"['knol', 'ros']"
werk,"['baan', 'vak', 'job']"
alcohol,['ethanol']
alfabet,['abc']
ad,['isim']
ante,['ana']
per,['setiap']
sub,"['slaaf', 'slavin']"
post,['poststuk']
circa,['plusminus']
algebra,['stelkunde']
oom,['nonkel']
tante,['bibi']
vader,"['pa', 'pap', 'papa', 'pappie', 'paps', 'va', 'vake']"
aal,"['aalt', 'gier']"
verf,['tjet']
scheikunde,['chemie']
gal,['levervocht']
nobel,['loffelijk']
stront,['poep']
tal,['semejante']
tor,['kever']
non,['zuster']
sleutel,['moersleutel']
dak,"['kap', 'overkapping']"
garden,['yard']
paradijs,"['lusthof', 'lustoord', 'hemel']"
zalm,"['zalmkleur', 'zalmkleurig']"
waarlijk,"['echt', 'zowaar']"
slot,"['kasteel', 'burcht']"
waarom,['hoezo']
daar,"['omdat', 'aangezien', 'vermits']"
waarheidsgetrouw,['juist']
bewogen,"['aangedaan', 'ontroerd']"
aardnoot,"['grondnoot', 'apennoot', 'pinda', 'olienoot']"
taalkunde,['taalwetenschap']
bult,['uitstulping']
kachel,"['bezopen', 'lazarus', 'teut', 'zat']"
en,"['benevens', 'ook', 'tevens', 'ende']"
trans,['ultra']
ultra,['trans']
cis,['des']
ding,['object']
pampus,"['apegapen', 'doodop', 'uitgeput']"
in,['binnen']
beginnen,['starten']
begin,"['start', 'aanvang']"
Andorra,"['AN', 'AND']"
dagelijks,['dagdagelijks']
waarde,['belang']
vreemd,['uitheems']
desperaat,"['radeloos', 'wanhopig']"
verifiëren,"['nagaan', 'controleren']"
lid,['penis']
maar,['daarentegen']
daarentegen,"['echter', 'maar']"
huis,"['woning', 'pand', 'woonhuis']"
opeens,"['plotseling', 'plots', 'plotsklaps', 'ineens', 'eensklaps']"
jong,['jeugdig']
modieus,"['in', 'hip']"
graag,['gaarne']
tevens,['eveneens']
gisteren,['gister']
aardolie,['petroleum']
ablativus,['ablatief']
kleermaker,"['tailleur', 'snijder', 'coupeur']"
kozijn,['vensternis']
waterrat,['woelrat']
laat Latijn,['Laatlatijn']
briljant,"['geniaal', 'uitmuntend']"
cinema,['bioscoop']
bioscoop,"['cinema', 'bios', 'filmhuis', 'filmtheater']"
cinematografie,['kinematografie']
sol,['so']
aardmeting,['geodesie']
aardolieproduct,['aardoliederivaat']
wrak,['wreekte']
aardrol,"['pletrol', 'pletwals']"
Pazeh,['Pazzehe']
broodboom,['broodvrucht']
Atayal,"['Tayal', 'Tyal', 'Taiyal', 'Ataiyal', 'Attayal', 'Taijyal', 'Bonotsek', 'Shabogala', 'Takonan', 'Tangao', 'Yukan']"
zeehond,['rob']
zeeaal,"['kongeraal', 'zeepaling']"
zwaartekracht,"['gravitatie', 'gravitatiekracht']"
koppelwerkwoord,['copula']
zeemacht,['marine']
paro,['desempleo']
animus,"['bezieling', 'geestdrift']"
flora,['plantenwereld']
gloria,['glorie']
hora,"['kopec', 'vrch']"
gek,['gestoorde']
komeet,['staartster']
aardveil,['hondsdraf']
aardwetenschap,['geowetenschappen']
aardrijkskundig,['geografisch']
zeecadet,"['adelborst', 'marinecadet']"
zeeduivel,['wiervis']
zeebonk,"['zeerob', 'zeerot']"
zeebreker,['golfbreker']
Aromaans,['Aroemeens']
zeevaarder,['zeeman']
zeewier,['zeealg']
Taroko,['Taruku']
grip,['houvast']
experimenteel,"['proefondervindelijk', 'empirisch']"
perceptie,['gewaarwording']
orator,['redenaar']
schijnheilig,"['hypocriet', 'huichelachtig']"
hengel,['boom']
boom,['hengel']
kat,['poes']
zoutwater,['pekelwater']
zeehondencrèche,['zeehondenopvangcentrum']
hond,['dog']
zeekoe,['lamantijn']
jager,['jachtvliegtuig']
planetenstelsel,['zonnestelsel']
zeekwal,"['medusa', 'meduse']"
zeelieden,"['zeemannen', 'zeelui']"
zeelui,"['zeelieden', 'zeemannen']"
echter,"['evenwel', 'maar']"
oorlog,['krijg']
asbak,['assenbak']
u,['zich']
duit,['uang']
hij,['ie']
zij,['ze']
dia,"['projectieplaat', 'projectieplaatje']"
keker,"['kikkererwt', 'kekererwt']"
knalpot,['knaldemper']
wastafel,['wasbak']
oma,"['grootmoeder', 'moemoe']"
opa,['grootvader']
beroep,"['ambacht', 'ambt', 'betrekking', 'stiel', 'occupatie', 'professie', 'vak', 'werk', 'werkzaamheid']"
pluralis,['meervoud']
zeepaling,['zeeaal']
zeerecht,['scheepvaartrecht']
zeerob,"['zeerot', 'zeebonk']"
zeerot,"['zeebonk', 'zeerob']"
zeerover,"['piraat', 'vrijbuiter', 'zeeschuimer', 'kaper', 'boekanier']"
basis,['dasar']
beker,['piala']
bel,['lonceng']
bis,['c']
bus,"['bis', 'otobis']"
baan,"['arbeidsplaats', 'arbeidsovereenkomst', 'dienstverband', 'betrekking', 'aanstelling', 'positie', 'post', 'ambt', 'functie']"
baby,['zuigeling']
bal,['zaadbal']
bad,"['harmful', 'hurtful', 'damaging', 'injurious']"
badkuip,['bad']
antwoorden,['antweurde']
antwoord,['repliek']
deksel,['lid']
mama,['ma']
zeeslag,['zeegevecht']
zeeschuimer,['piraat']
vrouw,"['echtgenote', 'gemalin', 'moer', 'vrouwmens', 'vrouwspersoon', 'wijfje']"
zeestroming,['zeestroom']
garçon,"['kelner', 'ober']"
ar,"['arrenslede', 'arrenslee']"
astronoom,['sterrenkundige']
goud,['goudkleurig']
astronaut,['kosmonaut']
geld,['doekoe']
economie,['staathuiskunde']
echo,"['reflectie', 'weerkaatsing', 'nagalm', 'naklank']"
echtgenoot,['eega']
echtgenote,"['eega', 'gade', 'wijf']"
eb,"['ebbe', 'laagtij']"
ecologie,['oecologie']
laboratorium,['lab']
labyrint,['doolhof']
arts,"['dokter', 'geneesheer', 'medicus']"
kuur,"['bevlieging', 'gril']"
onderzeeboot,['duikboot']
virus,['computervirus']
slang,['serpent']
duif,"['duivin', 'vrouwtjesduif']"
cobra,"['brilslang', 'naja']"
kuiken,['pullus']
kikker,['kikvors']
kip,"['hen', 'kieken']"
gonorroe,['druiper']
schaamluis,['platluis']
alleseter,['omnivoor']
giraffe,['giraf']
koraal,"['koraalkleur', 'koraalkleurig']"
nijlpaard,['hippopotamus']
aalscholver,"['waterraaf', 'schollevaar']"
aaseter,['aasdier']
druiper,['gonorroe']
seksueel overdraagbare aandoeningen,['geslachtsziekte']
baviaan,['hondsaap']
bever,['avank']
bijenkoningin,['moer']
bisamrat,"['muskusrat', 'waterkonijn']"
tin,['can']
brilslang,['brilcobra']
bruinvis,['zeevarken']
buizerd,['muizenvalk']
bunzing,"['stinkotter', 'ulk']"
carnivoor,['vleeseter']
daas,['paardenvlieg']
dekhengst,['fokhengst']
dinosaurus,['dino']
dog,['hond']
eendagsvlieg,['haft']
eidereend,"['eider', 'eidergans']"
everzwijn,['ever']
ezel,['grauwtje']
makelaar,['tussenpersoon']
gems,['klipgeit']
gnoe,['wildebeest']
gordeldier,['armadillo']
guppy,['gup']
haas,['langoor']
fuut,"['aalduiker', 'kuiffuut', 'aarsvoet']"
aandenken,['gedachtenis']
brug,['binding']
vissersboot,['vissersschip']
boeien,['kluisteren']
schatten,['benaderen']
jasje,"['colbert', 'blazer']"
weggaan,"['vertrekken', 'aftaaien']"
zeilboot,['zeilschip']
zijde,"['kant', 'zijkant']"
wang,['koon']
bos,['boss']
laars,['bot']
plantkunde,['botanie']
leerboek,['studieboek']
oorlogsschip,['oorlogsbodem']
goedkoop,['doorzichtig']
vat,"['fust', 'ton']"
leeg,['ledig']
bezem,['borstel']
tamelijk,"['redelijk', 'behoorlijk']"
voldoende,['genoeg']
nu,"['nou', 'tegenwoordig', 'thans']"
krop,['keelzak']
autobus,"['bus', 'touringcar']"
dal,['vallei']
veranderen,['wijzigen']
schap,['legplank']
kans,"['bof', 'buitenkansje', 'geluk', 'gelukje', 'koopje', 'mazzel', 'meevaller', 'tref', 'zwijn']"
hazewind,"['hazewindhond', 'windhond']"
hengst,['aai']
herbivoor,['planteneter']
houtworm,['doodskloppertje']
horzel,"['paardehorzel', 'brems']"
patio,"['veranda', 'terras']"
ijsbeer,['poolbeer']
insect,['bug']
vrachtboot,"['vrachtschip', 'cargo']"
jachtluipaard,"['cheeta', 'gepard']"
slagader,['arterie']
gebied,['terrein']
rekenkunde,"['aritmetica', 'cijferkunst']"
overgeven,"['braken', 'kotsen']"
harpoen,['visspeer']
kunst,"['bekwaamheid', 'vaardigheid']"
enveloppe,['envelop']
grijs,['grauw']
grauw,['grijs']
schokdemper,['schokbreker']
kakkerlak,['bakkerstor']
hemelsblauw,['hemelblauw']
dan,['serta']
kalf,['tussendorpel']
kanarie,"['kanarievogel', 'kanariepietje']"
kapmeeuw,['kokmeeuw']
actueel,['tegenwoordig']
kokmeeuw,['kapmeeuw']
kater,['kegel']
keeshond,"['kees', 'spits', 'spitshond']"
kerkuil,['torenuil']
kikkervis,"['dikkop', 'dikkopje']"
koala,['buidelbeer']
loodrecht,['verticaal']
libel,['libelle']
scheikundig,['chemisch']
lynx,['los']
made,"['mede', 'meet', 'maat']"
marmot,['mormeldier']
atoomnummer,['atoomgetal']
moerasschildpad,['waterschildpad']
mol,['verlagingsteken']
muskusrat,"['waterkonijn', 'bisamrat']"
mal,"['dwaas', 'gek', 'zot']"
omnivoor,['alleseter']
ooievaar,"['uiver', 'langbeen', 'eiber', 'stork']"
stork,['ooievaar']
oorworm,['oorwurm']
pad,['wegel']
pakezel,['lastezel']
panter,"['pars', 'leopar', 'pelenk']"
Drenthe,['Drentsko']
Gelderland,['Geldry']
Utrecht,['uniform']
universum,"['heelal', 'kosmos']"
poema,['bergleeuw']
trailer,"['aanhangwagen', 'oplegger']"
antibacterieel,['bactericide']
vrijen,['rollebollen']
koningin,['vorstin']
flinter,['flenter']
Logudoresisch Sardisch,['Sard']
koning,['heer']
spin,"['spinnenkop', 'spinnekop', 'spinnenkobbe', 'spinnekobbe', 'kobbe']"
Maria-Boodschap,"['Annunciatie', 'Verkondiging']"
nauwelijks,"['amper', 'ternauwernood']"
goedkeuren,['goedvinden']
dampkring,['atmosfeer']
waarschuwen,['waarschouwen']
avocado,"['avocadopeer', 'advocaatpeer']"
aangeklaagde,['gedaagde']
zodra,['zohaast']
eergisteren,['eergister']
dichtbij,['kortbij']
naderen,"['inlopen', 'naken']"
jouw,['jouwn']
bruiloft,['trouwpartij']
tak,"['enggak', 'indak', 'nda', 'ndak', 'ngga', 'nggak', 'tidak']"
omhelzen,['omarmen']
brandy,['brandewijn']
vonk,"['draad', 'vonkenboer']"
brik,['rekkverk']
gevecht,['strijd']
broos,"['kwetsbaar', 'breekbaar']"
terugkeren,['weerkomen']
breuk,"['fractie', 'fractuur', 'hernia', 'schending', 'schennis', 'verbreking']"
bol,"['bal', 'kloot', 'kogel', 'sfeer']"
das,['stropdas']
af en toe,"['soms', 'somtijds']"
schuldenaar,['debiteur']
planteneter,['herbivoor']
Mapudungun,['Araucano']
achtersteven,"['hek', 'kont']"
arend,['adelaar']
burgemeester,['burgervader']
architect,['bouwmeester']
armband,"['bracelet', 'polsbandje']"
kunstenaar,['artiest']
moordenaar,['pijptang']
bustehouder,['beha']
beha,['bustehouder']
apotheker,"['farmaceut', 'pillendraaier']"
beul,['scherprechter']
afkeer,"['aversie', 'weerzin']"
drugsverslaafde,"['drugverslaafde', 'drugsaddict']"
schrijnwerker,['meubelmaker']
baas,['bestuurder']
zin,['frase']
zwager,['schoonbroer']
vrees,"['angst', 'bangheid', 'huiver']"
musicus,"['muzikant', 'toonkunstenaar']"
niveau,"['peil', 'graad']"
arbeider,"['werker', 'werkkracht', 'werkman']"
bek,"['bakkes', 'smoel', 'snuit', 'tronie', 'snoet', 'porum', 'ponum', 'muil', 'gelaat', 'smoelwerk']"
aanloop,['opstarten']
vertegenwoordiger,['agent']
weerstand,"['verzet', 'tegenwerking', 'oppositie', 'resistentie']"
schoenmaker,['schoenlapper']
schoonbroer,['zwager']
toerist,"['vakantieganger', 'reiziger']"
aanhanger,['aanhangwagen']
afgod,['idool']
afgrond,['ravijn']
aanslag,['toucher']
avocadoboom,['advocaatboom']
abacus,['telraam']
troonsafstand,['abdicatie']
imker,['bijenhouder']
spar,['spant']
inboorling,['autochtoon']
bijslag,['toelage']
schavuit,"['schurk', 'bandiet']"
