Alan Bates
Thomas Nevill
Charles Darwin
Arthur Rowley
George Popham
Jonathan Greatorex
John Cridland Latham
Ernest Sloman
Simon Ross
Sir John Shelton
Lewis Hamilton
William John Simkin
Thomas Clere
Brian May
Arthur Gore
Robert Liddell
Charles Schreiber
Mountjoy Blount
Sir Thomas Parr
Joseph Scott
Dave Gardner
Michael Maybrick
Nicholas Carew
Arthur Gore
Wayne Escoffery
Edward Badham
Blanche of England
James Kenneth Stephen
Isabel Rawsthorne
David Bruce
Neil Young
Robert D'Oyly
Stephen Hunt
Martha Corey
Francis Knollys
Robert Rich
Henry Pole
William Stewart
Tom Vek
Lawrence Rustem
Helen Coope
Charles Brandon
Thomas Keyes
Elizabeth Raleigh
William Halford
James Lees-Milne
George Talbot
William Henry Bury
Edith of Wessex
Edward John Trelawny
Katherine Routledge
Alex Turner
Henry Percy
Charlotte Bury
Mary Read
John Manners
Thomas Radclyffe
Charles Blount
Walter Devereux
Thomas Wentworth
Francis Thompson
Henry Rich
Patricia Brooker
Nicola Goodger
Esme Folley
Max Bird-Ridnell
Al Nichols
Keith Lampard
Ned Crompton
Jim Jagger
Irene Haisman
Robert Trevelyan
John Fuller
Richard Reay
Simon Corris
Randal Haworth
Hayley Wilkins
Anne Kent
Richard Sheridan Willis
Laurie Waters
Chips Hardy
Kitty Butler
Dave Warwick
Thomas Braidon
Lily Morris
Ann Trevor
Mignonne Golden
Violet Keppel
Sir Richard Rich
Julius O'Riordan
Nathalie Antonia
Lauren Gregory
Richard Willis
Robert Aldous
Rene Boucicault
Wilfrid North
Verena Rice
John Donat
Cecil Clovelly
Edgar Vetter
John Humphry
Fanny Dorrit
Little Dorrit
Kate Greenaway
Colin Matthews
Jon Laurimore
Russ Robertson
Duke of Clarence
Geoffrey Denton
Margaret Pemberton
Matt Wesley
Lauren Rippingham
Kristina Salo
Grace Flavell
Francesca Pollard
Caroline Roy
Harry Beresford
Anne Gainsford
Tom Hanson
Thomas Troward
Erasmus Darwin
Paul Chuckle
Barry Chuckle
Heller Toren
Christopher Sandford
Paul Rawson
Andrew O'Connor
John Merrick
David McClelland
Jessica Mann
Jill Greenacre
Steven Forrester
Linda Cunningham
Nigel Betts
Jeff Upton
Dudley Jones
Monty Panesar
Andrew Struass
Duncan McKenzie
Arthur McLaglen
Alfred Ralston
Alice Greene
Charles Lancelot Shadwell
Katie Nicholls
Dennis Joseph Enright
Norman Cornthwaite Nicholson
Mary Jane Ormsby
Annie Edmondson
Edward Winslow
David Hinton-Gale
Jane Chatwin
Amy Dudley
Ursula Darwin
Eadgifu of Kent
Thomas Kyme
Sam Coleman
Tom Dunn
Kelly Tidy
Lady Margaret Bryan
Philip Appleyard
Anthony Heveningham
Alice More
Joan Bowes
Jane Colt
Jane Orwell
Sir Thomas Bryan
Ryan Hurst
Anthony Ughtred
Jane Walker Jennings
Dorothy Troyes
Lady Jemima Cornwallis
William Blake
Geoffrey Sumner
Dave Bickers
Isabella "Belle" Reynolds
Fred Starkey
Charles Lomax
Fred Fairweather
Ellen Elliot
Lawrence Bingham
Anthony Chaplin
Sam Fonteyn
Chris Vye
Winifred Davis
Peter Wells
Tony Stevens
Francis Brokesby
William Attersoll
Mary Hudson
David Gardner
Austin Denham
Joanna Mary Boyce
Richard Willis
Alfred W. McCune
David Stewart
Andy Robinson
Henry Trigg
Augustus Dickens
William Dugdale
Vincent Price
Charles Evenden
Eleanor Power
Maud Franklin
William Benbow
William Marsters
Thomas Louis
William Courtena
Alan Wilkins
Robert Amadas
Maurus Corker
Mary Eastey
John Bleasdale
Solomon Henry Jackson
Charles Miner Goodall
William Lord
Simon Reynolds
Charles Crichton
Harold Harrison
Nick McKeown
Anthony J. Naldrett
David C. Coates
Sarah Osborne
David Bruce
Edward James Eliot
Geoff Lawson
Cave Beck
Noel Field
Bridget Bishop
Frederick Whirlpool
Henry Herbert
John Wall
George Elliott
Granville Eliot
John Eliott
Henry Eliot
Charles Gerard
Hubert Bland
Michael Cronin
Richard Allan
Ricky Hype
Tim Manning
Al Lawson
Sam Jackson
Dennis Fitzgerald
Bobby Clack
Harry McDermott
Samual Dawes
Laura Doddington
Malcolm Reynolds
Robert Curtis
Matt West
John A. Leonard
Eliza Emery
Hugo Keith-Johnston
Jonny Rockett
Kent MacKenzie
Michael Condron
Emma Willis
Kenneth Hendel
Ambrose Barker
Cecile Chevreau
John E. Burch
Jack Greenwood
Reg Thomason
Sarah Atkinson
Simon Barry
Paul Warren
Clare Norrish
Paul Nurse
Simon West
Jimmy Patton
Kate Henry
Ronald Wolfe
Stephen Rashbrook
Jules Jordan
Helen Jarvis
Morgan Palmer Hubbard
